lat0,lon0,tmin_C__after_2000,tmin_C__before_2000,tmax_C__after_2000,tmax_C__before_2000,vpd__after_2000,vpd__before_2000,duration__after_2000,duration__before_2000,intensity__after_2000,intensity__before_2000,frequency__after_2000,frequency__before_2000,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-31.5,19.0,10.362830065442393,9.628510793050152,39.14114264946481,38.66734771728518,1.4977352453961916,1.375176803998267,3.875,3.3,0.9940337284522898,0.9145466275513172,0.22666666666666666,0.18333333333333332,0.7343192723922414,0.4737949321796293,0.1225584413979246,0.5750000000000002,0.07948710090097255,0.043333333333333335
-31.25,18.0,11.428863168691683,11.170006306966169,36.28905243316256,35.05990956624351,0.8790519657754486,0.8245155704899573,3.3,3.125,1.4567216290877416,1.1472252532839775,0.13333333333333333,0.13333333333333333,0.2588568617255138,1.229142866919048,0.05453639528549137,0.17499999999999982,0.3094963758037641,0.0
-31.0,18.0,10.40319828182074,10.107940673828148,36.979572286234294,35.94122721354169,1.0086985188109714,0.9488214522581132,3.230769230769231,3.1666666666666665,1.0946621759794652,0.9380708634853363,0.17333333333333334,0.1,0.2952576079925926,1.0383450726926071,0.05987706655285818,0.06410256410256432,0.15659131249412894,0.07333333333333333
-31.0,18.25,9.84115426199779,9.378709665934268,37.97854499321481,37.426343282063826,1.1165477958341965,1.0446659512403882,3.5,3.3636363636363638,1.0099005876109004,0.8729152083396912,0.18666666666666668,0.18333333333333332,0.46244459606352173,0.5522017111509854,0.07188184459380831,0.13636363636363624,0.13698537927120924,0.003333333333333355
-30.75,18.0,10.370877392261082,10.043267822265648,38.071297623275186,37.09323832194013,1.1562527846417707,1.082632367458849,3.272727272727273,3.125,1.1419225122247423,0.9217105954885483,0.14666666666666667,0.13333333333333333,0.32760956999543467,0.9780593013350583,0.07362041718292178,0.14772727272727293,0.220211916736194,0.013333333333333336
-30.75,18.25,9.617968710366805,9.099551900227887,38.07434403060321,37.56773274739586,1.2376067888753413,1.1549578356420587,3.55,3.4166666666666665,1.2692226306958632,1.123255580663681,0.16,0.11666666666666667,0.5184168101389179,0.5066112832073486,0.08264895323328258,0.1333333333333333,0.14596705003218213,0.043333333333333335
-30.5,17.5,11.868153797496472,11.724559020996116,31.132327230874616,30.004689788818382,0.72457895560288,0.6933555264217529,3.5,3.1666666666666665,1.0974868396917978,0.8979712128639221,0.17333333333333334,0.1,0.1435947765003558,1.1276374420562334,0.031223429181127083,0.3333333333333335,0.19951562682787571,0.07333333333333333
-26.75,27.5,9.060783326780664,8.162388865153018,32.26867323045609,30.518404897054058,1.239512102941921,0.9894272069398566,4.086206896551724,3.5384615384615383,0.8309439997519216,0.655973345041275,0.49333333333333335,0.23333333333333334,0.898394461627646,1.7502683334020297,0.2500848960020643,0.5477453580901859,0.17497065471064654,0.26
-26.75,27.75,9.175894244305521,8.26166687011721,32.13941622647374,30.377102406819684,1.186630390551193,0.9484719976150264,4.080645161290323,3.269230769230769,0.8082341989502311,0.6522849024488375,0.5066666666666667,0.25,0.9142273741883109,1.7623138196540573,0.23815839293616659,0.8114143920595538,0.15594929650139355,0.2566666666666667
-26.75,28.0,9.204427189021938,8.365766906738305,31.92703548282774,30.184788258870466,1.1412284484024129,0.9133049303066426,4.171875,3.5416666666666665,0.7657699545516687,0.6645113732665777,0.52,0.25,0.8386602822836338,1.7422472239572748,0.22792351809577027,0.6302083333333335,0.10125858128509102,0.27
