lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-25.75,29.75,0.831422718,0.928887328,0.062020496,0.726666667,0.21141294,0.156666667
-25.5,28.25,0.602469222,0.397571564,0.031218926,0.285714286,0.221763373,0.203333333
-25.5,28.5,0.651269736,0.432896423,0.029167866,0.095317726,0.102893154,0.206666667
-25.5,28.75,0.661272863,0.418576377,0.026673142,0.70375,0.077276067,0.156666667
-25.25,26.75,0.778313548,0.483789105,0.082773114,0.562857143,0.156521304,0.156666667
-25.25,45.5,0.560224555,0.881757355,0.089916558,0.164285714,0.066755074,0.156666667
-25.25,45.75,0.657718338,0.481345678,0.065947732,0.887218045,0.02907436,0.11
-25,26.25,0.942896258,0.95670279,0.232089569,0.465714286,0.09571304,0.176666667
-25,26.5,0.925198473,0.969985978,0.223329588,0.393518519,0.11962643,0.233333333
-25,26.75,0.897029246,0.914253486,0.203807479,0.355769231,0.026932065,0.19
-25,27,0.740727861,0.78588168,0.188006135,0.403846154,0.170845027,0.2
-25,27.25,0.707398762,0.054658112,0.01671311,0.44047619,0.079406463,0.083333333
-25,27.5,0.641863809,0.07370473,0.019420936,0.15034965,0.066867887,0.123333333
-25,44.5,0.64485537,0.976558821,0.102090494,0.329431438,0.009968729,0.156666667
-25,45.25,0.720624017,0.960600931,0.111079088,0.294642857,0.018894156,0.236666667
-25,45.5,0.650369038,0.998201012,0.112680169,0.298029557,0.043484382,0.156666667
-25,46,0.686538518,0.899620519,0.097975514,0.45,0.091598882,0.166666667
-25,46.25,0.50812477,1.127590549,0.099877905,0.264423077,0.130137691,0.093333333
-25,46.5,0.476968592,0.99436879,0.085682373,0.303529412,0.040335814,0.133333333
-24.75,27,0.692120437,0.623121633,0.153128759,0.53125,0.099786565,0.066666667
-24.75,28,0.774490631,0.580782051,0.111080764,0.065217391,0.169943771,0.143333333
-24.75,28.25,0.776269868,0.557964417,0.089740453,0.166666667,0.140274441,0.16
-24.75,45.25,0.691204365,1.049730402,0.128937592,0.363076923,0.068710847,0.203333333
-24.75,46,0.8110207,1.167111847,0.137585471,0.192307692,0.135928948,0.093333333
-24.75,46.25,0.892003318,1.261750959,0.131342883,0.285882353,0.080978808,0.043333333
-24.75,46.5,0.675092118,1.101904228,0.097203437,0.1625,0.121477824,0.096666667
-24.5,28,0.75065263,0.607614522,0.103806147,0.375,0.187015995,0.113333333
-24.5,28.25,0.643918544,0.527284786,0.084773061,0.41,0.149332606,0.126666667
-24.5,28.5,0.654314545,0.498879998,0.073129992,0.26984127,0.126119819,0.186666667
-24.5,45.25,0.702937059,1.140601527,0.139590199,0.032727273,0.076739265,0.256666667
-24.5,46.5,0.804029883,1.169114721,0.112003199,0.047619048,0.115089948,0.103333333
-24.25,28.5,0.599195908,0.558698279,0.077658296,0.680995475,0.093413842,0.1
-24.25,46.25,0.73796243,1.247534645,0.129742803,0.437894737,0.133723622,0.03
-24,46.25,0.890819761,1.605362279,0.172470779,0.857692308,0.088761924,0.096666667
-24,46.5,0.794677133,1.798304022,0.18526659,0.245819398,0.180468307,0.103333333
-23.75,29.75,0.335069684,0.283169318,0.022606596,0.444444444,0.058808491,0.026666667
-23.75,46,0.632898564,1.300189008,0.134665703,0.35,0.033621207,0.16
-23.75,46.25,0.455768869,1.289964641,0.098335021,0.222222222,0.078192376,0.13
-23.5,29.5,0.327224269,0.102715632,0.013313414,0.287449393,0.140497486,0.006666667
-23.5,29.75,0.31241531,0.172605133,0.021449562,0.364923747,0.100379362,0.06
-23.5,30,0.005416708,0.289185538,0.010150331,0.318287037,0.075882221,0.063333333
-23.5,31.25,0.202457781,0.269745686,0.009512253,0.34981685,0.124749344,0.07
-23.5,31.5,0.264633331,0.331017445,0.022007486,0.459064327,0.027605317,0.123333333
-23.5,46.25,0.439088549,1.215021924,0.08860946,0.933760684,0.158822944,0.043333333
-23.5,46.5,0.200762309,0.800531188,0.016367004,0.520833333,0.00560658,0.06
-23.25,29.75,0.302503135,0.099618623,0.013244464,0.236590038,0.081322878,0.133333333
-23.25,30,0.112056326,0.132547142,0.007822606,0.140086207,0.052472742,0.14
-23.25,31,0.176489648,0.240387931,0.011354032,0.460714286,0.191578635,0.043333333
-23.25,31.25,0.208023312,0.190978935,0.006516493,0.392857143,0.134162068,0.073333333
-23.25,31.5,0.213373199,0.247565255,0.016575091,0.341897233,0.077023245,0.156666667
-23.25,34.5,0.243345418,0.285053365,0.035545345,0.523809524,0.059708865,0.186666667
-23.25,46,0.732471255,1.426847324,0.145775501,0.522222222,0.059853943,0.096666667
-23.25,46.25,0.407285841,1.158113864,0.074357917,0.537037037,0.139128211,0.08
-23,29.75,0.274723908,0.027172049,0.013908704,0.595117845,0.124271245,0.04
-23,30,0.204114486,0.107782108,0.015448934,0.603448276,0.092548446,0.103333333
-23,30.75,0.344634528,0.203634165,0.006764672,0.685714286,0.119481884,0.056666667
-23,34.25,0.423228184,0.294296661,0.040033742,0.607142857,0.099657157,0.206666667
-23,34.5,0.311179695,0.304240992,0.040607082,0.730769231,0.098903197,0.186666667
-23,46.25,0.434620181,1.055611915,0.064073266,0.947058824,0.136421412,0.076666667
-23,46.5,0.254243664,0.731908866,0.026507473,0.416666667,0.052692569,0.06
-22.75,30.25,0.290231043,0.18256574,0.000645026,0.474358974,0.063435429,0.093333333
-22.75,30.5,0.206130341,0.109345401,9.07E-05,0.489316239,0.043948013,0.12
-22.75,46.25,0.461392658,1.109298115,0.073892754,1.1,0.119916615,0.07
-22.75,46.5,0.501395667,1.212111895,0.078110622,0.424317618,0.06436351,0.253333333
-22.5,33.75,0.413315909,0.18164981,0.038144475,0.595238095,0.120345771,0.076666667
-22.5,34,0.442458931,0.243627969,0.043865466,0.592592593,0.02398021,0.17
-22.5,34.25,0.423145869,0.248897681,0.045061206,0.525,0.045310564,0.243333333
-22.5,46.5,0.641252258,1.475045116,0.119723067,0.410557185,0.043598517,0.23
-22,34.75,0.518069316,0.394315919,0.063556809,0.951505017,0.090653732,0.086666667
-22,48,0.415693546,1.213112713,0.051149721,0.080267559,0.047449861,0.136666667
-21.75,35,0.150477029,0.512128293,0.053797868,0.375,0.08857179,0.12
-21.75,45.25,0.804894702,1.413527392,0.23401326,0.03,0.000669489,0.223333333
-21.5,35,0.047690714,0.535933329,0.050072731,0.258893281,0.069633031,0.223333333
-21.5,45.25,0.682960097,1.371616063,0.211067064,0.543771044,0.123435966,0.266666667
-21.5,45.5,0.822735325,1.261099448,0.194096668,0.078461538,0.048689996,0.263333333
-21.25,45.25,0.576012612,1.265996215,0.178040607,0.543636364,0.083797411,0.253333333
-21.25,45.5,0.719782277,1.251363046,0.188936052,0.349090909,0.195717675,0.266666667
-21,27.75,0.486343139,0.433287088,0.067941974,0.392222222,0.020723198,0.026666667
